Titel;URL
Do Schools Need Air Conditioning?;https://www.youtube.com/watch?v=ur1R3_97eHk
It’s not a question of whether artificial intelligence (AI) belongs in schools. The question is: ...;https://www.youtube.com/watch?v=v_E-ZTbzCIw
10 Assignments for Summer Break!;https://www.youtube.com/watch?v=dYkB5IrQTMA
The Challenge - A Truly Great Educational Concept!;https://www.youtube.com/watch?v=Pnf-cmOW1AM
Oral final exam - How to pass the exam successfully!;https://www.youtube.com/watch?v=Y__EAxdDuPE
Composite body - Calculate volume by subtraction;https://www.youtube.com/watch?v=AFWktTrf5zY
Parallelogram - Properties: Vertices, sides, angles, diagonals;https://www.youtube.com/watch?v=7w9Sno22AJE
Parallelogram - Calculate area;https://www.youtube.com/watch?v=TIdiw4qsxTg
Composite solid - Calculate volume (two cuboids) | Teacher Schmidt;https://www.youtube.com/watch?v=YuhxZrArwJE
Constructing a square - with a set square (without boxes) | Teacher Schmidt;https://www.youtube.com/watch?v=AZxGPuWO-zY
Three questions for you! The Ship of Theseus - Is it still the same?;https://www.youtube.com/watch?v=DkzpVH2htlQ
Constructing a rectangle - with a set square (without squares) | Teacher Schmidt;https://www.youtube.com/watch?v=9p9vCKwqO48
10 tasks for the Easter holidays!;https://www.youtube.com/watch?v=WghxXwldoW0
Linear function - Calculate the intersection point of two functions (straight lines).;https://www.youtube.com/watch?v=1zjpnWLLbGc
Linear function - finding the intersection point of two lines graphically;https://www.youtube.com/watch?v=mgDet0KN8NQ
Linear function - Calculate table of values;https://www.youtube.com/watch?v=D4C3ndCtqao
Linear function - create a table of values ​​by reading off values;https://www.youtube.com/watch?v=i--3aGTtzgY
Parallelogram - Calculate the circumference;https://www.youtube.com/watch?v=xEZM_s0ZtLk
Graphing a linear function - four examples - simply explained | Teacher Schmidt;https://www.youtube.com/watch?v=oEXxdzOJ3HE
Parallelogram - Calculate the perimeter using the Pythagorean theorem;https://www.youtube.com/watch?v=NJe-EzWX6TQ
If the mid-year report card isn't so good...;https://www.youtube.com/watch?v=ue5WuMUC1hw
Coordinate system - plotting points - explained very simply;https://www.youtube.com/watch?v=2N9Xtdj2clI
Coordinate system - reading points;https://www.youtube.com/watch?v=mw04J8fquEo
Creating a coordinate system - here's how to do it right!;https://www.youtube.com/watch?v=zbHaOvM9zVs
No ice for schools? - A difficult decision!;https://www.youtube.com/watch?v=gdhGarK8dQ4
10 good New Year's resolutions!;https://www.youtube.com/watch?v=fB2Oi6czu1M
Simple interest calculation (1 year) - rearrange the formula to solve for K and p;https://www.youtube.com/watch?v=9aQiaxd4ulc
Simple interest calculation (1 year) - Calculate interest;https://www.youtube.com/watch?v=m-04f4Pgx6Y
Parallelogram - Calculate area using the Pythagorean theorem;https://www.youtube.com/watch?v=2C4tkpxkf40
Solving simple fractional equations;https://www.youtube.com/watch?v=W17816CGFPc
Rectangle - Calculate area - Formula with two example exercises |  Lehrerschmidt;https://www.youtube.com/watch?v=8pQh1dIDAIA
Rectangle - labels, properties, axes of symmetry, and diagonals |  Lehrerschmidt;https://www.youtube.com/watch?v=AohF7gdAGcU
Calculate the perimeter of a square - Formula explained + two examples |  Lehrerschmidt;https://www.youtube.com/watch?v=gwuD1te6V2c
Calculating a square area | simply explained with two examples | Lehrerschmidt;https://www.youtube.com/watch?v=-cD1boIjQ_g
Square - Properties, diagonals and axes of symmetry (mirror axes) |  Lehrerschmidt;https://www.youtube.com/watch?v=-WjG3b5kwLc
Quadrilaterals - Axes of Symmetry (Mirror Axes) |  An Overview by Lehrerschmidt;https://www.youtube.com/watch?v=uXBiEhGk0S4
3. Binomial formula - simply explained with two examples |  Lehrerschmidt;https://www.youtube.com/watch?v=6ZXksIFEHH4
2. Binomial formula - simply explained with two examples |  Lehrerschmidt;https://www.youtube.com/watch?v=mU4yQjmDoyA
Quadrilaterals - an overview: square, rectangle, rhombus, trapezoid, kite and parallelogram;https://www.youtube.com/watch?v=Wl_TbIOAK44
Simplifying terms - simple division |  Lehrerschmidt;https://www.youtube.com/watch?v=SDAwdEGgXGA
Artificial Intelligence - AI - in school - We need to talk!;https://www.youtube.com/watch?v=-oYyA-1RME8
1. binomial formula - with graphical explanation |  Lehrerschmidt;https://www.youtube.com/watch?v=D_D4gvqNDdE
Multiplying two parentheses | Terms and equations | Lehrerschmidt;https://www.youtube.com/watch?v=GGo7qilf340
Calculate x | Solve simple equations | Lehrerschmidt;https://www.youtube.com/watch?v=isudBsbEAhQ
Factoring out | Terms and equations | Simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=M-ffRnUj9pI
Expanding from parentheses (simple) | Terms and equations | Lehrerschmidt;https://www.youtube.com/watch?v=Ul7YU698wzI
Combining terms - simple multiplication |  Lehrerschmidt;https://www.youtube.com/watch?v=0dqHdKfoO8Q
Learn vocabulary quickly and permanently with flashcards |  Lehrerschmidt;https://www.youtube.com/watch?v=USWdgUkbgYQ
Combining terms III - with fractions | simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=psaAK9kXKpI
Combining terms II - adding and subtracting | simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=NRaWEiFwh6s
Summarizing terms - an easy introduction to the topic | Lehrerschmidt;https://www.youtube.com/watch?v=jBAU3Sdq3aU
10 tips for the new school year – how to get off to a good start!;https://www.youtube.com/watch?v=WTxWYCt0Ls4
10 tasks you have to do during the summer holidays!;https://www.youtube.com/watch?v=OnsMbTEi-tI
Original list and ranking list - Statistics and probability theory |  Lehrerschmidt;https://www.youtube.com/watch?v=Fo5P39oMCwk
Interest calculation - Changing the interest formula | simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=DzgBiklsRHo
Calculate compound interest with the formula - quick method | simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=Njv89kOWFzM
Interest calculation over several years – a long path with compound interest |  Lehrerschmidt;https://www.youtube.com/watch?v=E5vVgJDd7Yw
Interest calculation with interest days - three example tasks;https://www.youtube.com/watch?v=1MZrTO7dpAA
Interest calculation - formula with months - simply explained | Lehrerschmidt;https://www.youtube.com/watch?v=ckz4fkoxkVQ
Interest calculation – basic formulas and terms explained simply |  Lehrerschmidt;https://www.youtube.com/watch?v=MgeUs-fppBA
Quickly calculate a discount or cash discount (percentage factor) | simply explained by Lehrersch...;https://www.youtube.com/watch?v=VxZe9NaPZbM
Quickly calculate value added tax (VAT) (percentage factor) | simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=cTkZPfM3N8c
Percentage calculation with formula - calculate percentage (p) | simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=xh3aWMHGyw4
Percentage calculation with formula - Calculate base value (G) - Lehrerschmidt;https://www.youtube.com/watch?v=VIQzSrTaiS4
Percentage factor (simple) - quick percentage calculation | Lehrerschmidt;https://www.youtube.com/watch?v=i0IvbHLuTLw
